org,ts,esn,gpn,ufs,changeover,first,result,prep_plus_main (min)
G1,2024-05-20 19:44:26,3472460595,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.73
G1,2024-05-20 19:47:49,3472460597,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.92
G1,2024-05-20 20:02:34,3472461138,010-02976-62,Micron Dorado-A 256GB,0,1,1,39.73
G1,2024-05-20 20:04:00,3472460625,010-02976-62,Micron Dorado-A 256GB,0,1,1,40.86
G1,2024-05-20 20:04:53,3472461140,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.21
G1,2024-05-20 20:05:08,3472460631,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.7
G1,2024-05-20 20:05:27,3472460566,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.11
G1,2024-05-20 20:07:32,3472460634,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.15
G1,2024-05-20 20:07:33,3472460570,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.06
G1,2024-05-20 20:08:58,3472461141,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.92
G1,2024-05-20 20:09:09,3472460643,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.84
G1,2024-05-20 20:09:21,3472460572,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.62
G1,2024-05-20 20:09:34,3472461149,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.56
G1,2024-05-20 20:10:34,3472460565,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.26
G1,2024-05-20 20:10:54,3472460571,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.2
G1,2024-05-20 20:12:00,3472460632,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.84
G1,2024-05-20 20:16:19,3472461139,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.12
G1,2024-05-20 20:16:28,3472460567,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.28
G1,2024-05-20 20:28:35,3472461145,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.44
G1,2024-05-20 20:29:45,3472460648,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.15
G1,2024-05-20 20:30:26,3472460564,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.67
G1,2024-05-20 20:30:57,3472460573,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.45
G1,2024-05-20 20:31:44,3472461151,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.15
G1,2024-05-20 20:35:34,3472460192,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.87
G1,2024-05-20 20:37:02,3472460626,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.26
G1,2024-05-20 20:37:50,3472460647,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.34
G1,2024-05-20 20:40:13,3472461148,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.85
G1,2024-05-20 20:42:36,3472460630,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.56
G1,2024-05-20 20:44:56,3472458862,010-02976-63,Micron Dorado-A 256GB,0,1,1,53.93
G1,2024-05-20 20:44:58,3472458943,010-02976-63,Micron Dorado-A 256GB,0,1,1,57.34
G1,2024-05-20 20:46:08,3472458867,010-02976-63,Micron Dorado-A 256GB,0,1,1,58.62
G1,2024-05-20 20:46:21,3472458864,010-02976-63,Micron Dorado-A 256GB,0,1,1,53.79
G1,2024-05-20 20:47:14,3472460617,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.45
G1,2024-05-20 20:47:59,3472458949,010-02976-63,Micron Dorado-A 256GB,0,1,1,60.43
G1,2024-05-20 20:48:07,3472460616,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.2
G1,2024-05-20 20:48:08,3472458870,010-02976-63,Micron Dorado-A 256GB,0,1,1,53.77
G1,2024-05-20 20:48:52,3472460613,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.3
G1,2024-05-20 20:50:17,3472461142,010-02976-62,Micron Dorado-A 256GB,0,1,1,49.83
G1,2024-05-20 20:51:13,3472461154,010-02976-62,Micron Dorado-A 256GB,0,1,1,49.08
G1,2024-05-20 20:51:53,3472458868,010-02976-63,Micron Dorado-A 256GB,0,1,1,55.94
G1,2024-05-20 20:52:08,3472458859,010-02976-63,Micron Dorado-A 256GB,0,1,1,48.8
G1,2024-05-20 20:52:26,3472461162,010-02976-62,Micron Dorado-A 256GB,0,1,1,49.35
G1,2024-05-20 20:52:44,3472460640,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.54
G1,2024-05-20 20:54:23,3472458874,010-02976-63,Micron Dorado-A 256GB,0,1,1,60.67
G1,2024-05-20 20:54:38,3472458890,010-02976-63,Micron Dorado-A 256GB,0,1,1,56.99
G1,2024-05-20 20:54:44,3472461136,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.05
G1,2024-05-20 20:54:52,3472460585,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.67
G1,2024-05-20 20:54:57,3472460637,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.94
G1,2024-05-20 20:55:27,3472460575,010-02976-62,Micron Dorado-A 256GB,0,1,1,49.45
G1,2024-05-20 20:56:22,3472458863,010-02976-63,Micron Dorado-A 256GB,0,1,1,60.29
G1,2024-05-20 20:57:33,3472461165,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.1
G1,2024-05-20 20:57:49,3472461168,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.32
G1,2024-05-20 20:57:54,3472458933,010-02976-63,Micron Dorado-A 256GB,0,1,1,52.59
G1,2024-05-20 20:58:27,3472458865,010-02976-63,Micron Dorado-A 256GB,0,1,1,56.64
G1,2024-05-20 20:59:07,3472460614,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.69
G1,2024-05-20 20:59:19,3472458861,010-02976-63,Micron Dorado-A 256GB,0,1,1,57.67
G1,2024-05-20 20:59:29,3472458936,010-02976-63,Micron Dorado-A 256GB,0,1,1,52.1
